Block Name,Party Front,Ward,Name,Votes
Kanhangad,LDF,1,UDMA,4128
Kanhangad,LDF,2,KARIPPODY,3502
Kanhangad,LDF,3,PANAYAL,4927
Kanhangad,LDF,4,PAKKAM,5470
Kanhangad,UDF,5,PERIYE,4515
Kanhangad,LDF,6,PULLUR,4921
Kanhangad,LDF,7,MADIKAI,5860
Kanhangad,LDF,8,AMBALATHUKARA,6305
Kanhangad,LDF,9,VELLIKOTH,5435
Kanhangad,OTH,10,AJANUR,4370
Kanhangad,LDF,11,CHITHARI,5259
Kanhangad,UDF,12,PALLIKKARE,5548
Kanhangad,UDF,13,PALAKKUNNU,2840
Karadka,NDA,1,MOVVAR,3734
Karadka,NDA,2,KUMBADAJE,2567
Karadka,NDA,3,BELLUR,2769
Karadka,UDF,4,ADHUR,2627
Karadka,LDF,5,DELAMPADY,3385
Karadka,LDF,6,ADOOR,2927
Karadka,UDF,7,BANDADUKKA,3644
Karadka,LDF,8,KUTTIKOL,5545
Karadka,LDF,9,BEDAKAM,4137
Karadka,LDF,10,KUNDAMKUZHI,4760
Karadka,LDF,11,PERLADUKKA,3846
Karadka,UDF,12,MULIYAR,3759
Karadka,LDF,13,KARADUKA,3825
Kasargod,UDF,1,ARIKKADY,5327
Kasargod,NDA,2,KUMBALA,4777
Kasargod,UDF,3,MOGRAL,5766
Kasargod,UDF,4,ERIYAL,3398
Kasargod,UDF,5,ULIYATHADUKKA,4452
Kasargod,NDA,6,NEERCHAL,4769
Kasargod,NDA,7,PERDALA,4227
Kasargod,UDF,8,EDNEER,4538
Kasargod,UDF,9,CHERKALA,5477
Kasargod,UDF,10,CHENGALA,5295
Kasargod,UDF,11,BANDICHAL,4056
Kasargod,UDF,12,KALANAD,4883
Kasargod,UDF,13,CHEMNAD,5178
Kasargod,UDF,14,CIVIL STATION,4860
Kasargod,NDA,15,RAMDAS NAGAR,5712
Manjeshwar,UDF,1,KUNJATHUR,3653
Manjeshwar,OTH,2,BADAJE,2419
Manjeshwar,LDF,3,VORKADY,3803
Manjeshwar,NDA,4,MULIGADDE,3666
Manjeshwar,NDA,5,PERMUDE,3495
Manjeshwar,NDA,6,ENMAKAJE,3936
Manjeshwar,NDA,7,PERLA,3836
Manjeshwar,LDF,8,PUTHIGE,4040
Manjeshwar,UDF,9,ICHILAMKODE,3895
Manjeshwar,UDF,10,BANTHIYODE,3253
Manjeshwar,UDF,11,NAYA BAZAR,2986
Manjeshwar,NDA,12,MAJEERPALLA,3115
Manjeshwar,NDA,13,KADAMBAR,4203
Manjeshwar,UDF,14,UPPALA,3274
Manjeshwar,UDF,15,MANJESHWAR,2668
Nileswar,LDF,1,THURUTHI,4610
Nileswar,UDF,2,CHERUVATHUR,3664
Nileswar,LDF,3,KLAYIKODE,5953
Nileswar,LDF,4,KAYYUR,4977
Nileswar,LDF,5,CHEEMENI,5047
Nileswar,LDF,6,KODAKKAD,7810
Nileswar,LDF,7,PILICODE,5072
Nileswar,LDF,8,UDINOOR,4577
Nileswar,UDF,9,TRIKARIPUR TOWN,3447
Nileswar,UDF,10,OLAVARA,4292
Nileswar,UDF,11,VELLAP,5809
Nileswar,LDF,12,VALIYAPARAMBA,4585
Nileswar,UDF,13,PADNE,4419
Parappa,LDF,1,KODOM,4539
Parappa,UDF,2,KALLAR,4157
Parappa,LDF,3,PANATHADY,4226
Parappa,LDF,4,PANATHUR,3511
Parappa,UDF,5,MALOM,5302
Parappa,UDF,6,KOTTAMALA,4347
Parappa,UDF,7,CHITTARIKKAL,5242
Parappa,UDF,8,KAMBALLUR,4831
Parappa,LDF,9,ELERI,4196
Parappa,LDF,10,PARAPPA,4902
Parappa,LDF,11,KINANOOR,5044
Parappa,UDF,12,BALAL,5265
Parappa,LDF,13,KALICHANADUKKAM,3714
Parappa,LDF,14,BELUR,3858
