Municipality Name,Party Front,Ward,Name,Votes
Kanhangad,UDF,1,BALLA KADAPURAM WEST,813
Kanhangad,UDF,2,BALLA KADAPURAM EAST,524
Kanhangad,OTH,3,KANHANGAD TOWN,394
Kanhangad,LDF,4,ATHIYAMBOOR,469
Kanhangad,NDA,5,DURGGA HIGHER SECONDARY SCHOOL,378
Kanhangad,NDA,6,KARATTUVAYAL,439
Kanhangad,LDF,7,NELLIKKATTU,772
Kanhangad,LDF,8,G H S BALLA EAST,559
Kanhangad,NDA,9,A C NAGAR,521
Kanhangad,LDF,10,ADAMBIL,700
Kanhangad,LDF,11,THOYAMMAL,719
Kanhangad,UDF,12,ARANGADI,549
Kanhangad,NDA,13,N G O QUARTERS,493
Kanhangad,OTH,14,MUNICIPAL OFFICE,317
Kanhangad,NDA,15,LAKSHMI NAGAR,424
Kanhangad,UDF,16,KANIYAMKULAM,627
Kanhangad,LDF,17,MATHOTH,715
Kanhangad,OTH,18,NILANKARA,483
Kanhangad,LDF,19,KANHANGAD SOUTH HIGHER SECONDARY SCHOOL,488
Kanhangad,LDF,20,ARAYI KARTHIKA,633
Kanhangad,LDF,21,BHOODANAM COLONY,644
Kanhangad,LDF,22,CHEDIROAD-DIVYAMPARA,689
Kanhangad,LDF,23,UPPILIKAI HIGH SCHOOL,564
Kanhangad,LDF,24,PUTHUKAI,743
Kanhangad,OTH,25,MADURAMKAI,490
Kanhangad,LDF,26,AINGOTH,674
Kanhangad,UDF,27,PADANNAKAD,745
Kanhangad,UDF,28,THEERTHAMKARA,506
Kanhangad,LDF,29,MARAKKAPPU KADAPPURAM,557
Kanhangad,UDF,30,OZHINJAVALAPPU,399
Kanhangad,LDF,31,KARUVALAM,542
Kanhangad,LDF,32,KURUNTHOOR,636
Kanhangad,LDF,33,NHANIKKADAVU,617
Kanhangad,LDF,34,MOOVARIKUNDU,773
Kanhangad,LDF,35,PATTAKKAL,793
Kanhangad,UDF,36,MURIYANAVI,689
Kanhangad,UDF,37,KALLORAVI,936
Kanhangad,UDF,38,AVIYIL,856
Kanhangad,UDF,39,KUSHAL NAGAR SOUTH,467
Kanhangad,UDF,40,HOSDURG KADAPPURAM,737
Kanhangad,LDF,41,KOVVAL,474
Kanhangad,LDF,42,AVIKARA,367
Kanhangad,UDF,43,MEENAPPIES,792
Kasargod,UDF,1,CHERANGAI WEST,327
Kasargod,UDF,2,CHERANGAI EAST,513
Kasargod,UDF,3,ADKATHBAIL,391
Kasargod,NDA,4,THALIPADAPPU,387
Kasargod,NDA,5,KARANDAKKAD,576
Kasargod,NDA,6,ANABAGILU,504
Kasargod,NDA,7,NULLIPPADY,584
Kasargod,NDA,8,NULLIPPADY NORTH,462
Kasargod,NDA,9,ANANGOOR,435
Kasargod,NDA,10,VIDYANAGAR,462
Kasargod,UDF,11,BADIRA,461
Kasargod,UDF,12,CHALA,430
Kasargod,UDF,13,CHALAKKUNNU,426
Kasargod,UDF,14,THURUTHI,638
Kasargod,UDF,15,KOLLAMPADY,501
Kasargod,UDF,16,PACHAKKAD,546
Kasargod,LDF,17,CHENNIKARA,525
Kasargod,NDA,18,PULIKKUNNU,597
Kasargod,NDA,19,KORAKKODE,440
Kasargod,OTH,20,FISH MARKET,289
Kasargod,OTH,21,HONNAMOOLA,585
Kasargod,UDF,22,THERUVATH,332
Kasargod,UDF,23,PALLIKKAL,457
Kasargod,UDF,24,KHASILANE,322
Kasargod,UDF,25,THALANGARA BANGODE,336
Kasargod,UDF,26,THALANGARA JADEETH ROAD,555
Kasargod,UDF,27,THALANGARA KANDATHIL,464
Kasargod,UDF,28,THALANGARA K K PURAM,479
Kasargod,UDF,29,THALANGARA PADINHAR,332
Kasargod,UDF,30,THALANGARA DEENAR NAGAR,509
Kasargod,UDF,31,THAYALANGADI,536
Kasargod,NDA,32,TALUK OFFICE,512
Kasargod,NDA,33,BEERANTHBAYAL,711
Kasargod,UDF,34,NELLIKUNNU,451
Kasargod,UDF,35,PALLAM,456
Kasargod,NDA,36,KADAPPURAM SOUTH,636
Kasargod,NDA,37,KADAPPURAM NORTH,659
Kasargod,NDA,38,LIGHT HOUSE,470
Nileshwar,LDF,1,PADINHAMTTAMKOZHUVAL WEST,460
Nileshwar,UDF,2,PADINHAMTTAMKOZHUVAL EAST,358
Nileshwar,OTH,3,KIZHAKKANKOZHUVAL,375
Nileshwar,UDF,4,PALAKKATT,404
Nileshwar,LDF,5,CHIRAPPURAM,591
Nileshwar,LDF,6,PATTENA,440
Nileshwar,LDF,7,SUVARNAVALLY,716
Nileshwar,LDF,8,PALATHADAM,763
Nileshwar,LDF,9,PALAYI,599
Nileshwar,LDF,10,VALLIKKUNNU,593
Nileshwar,LDF,11,CHATHAMATH,310
Nileshwar,LDF,12,POOVALAMKAI,495
Nileshwar,LDF,13,KUNHIPULIKKAL,436
Nileshwar,LDF,14,KARYAMKODE,405
Nileshwar,LDF,15,PEROLE,485
Nileshwar,LDF,16,THATTACHERI,430
Nileshwar,LDF,17,PALLIKKARA-I,451
Nileshwar,LDF,18,PALLIKKARA-II,463
Nileshwar,LDF,19,KARUVACHERY,358
Nileshwar,LDF,20,KOYAMBURAM,506
Nileshwar,LDF,21,ANACHAL,545
Nileshwar,UDF,22,KOTTAPPURAM,663
Nileshwar,OTH,23,KADINHIMOOLA,446
Nileshwar,UDF,24,PURATHEKKAI,362
Nileshwar,UDF,25,THAIKKADAPPURAM SOUTH,467
Nileshwar,OTH,26,THAIKKADAPPURAM CENTRAL,377
Nileshwar,UDF,27,THAIKKADAPPURAM NORTH,274
Nileshwar,UDF,28,THAIKKADAPPURAM SEA ROAD,464
Nileshwar,UDF,29,THAIKKADAPPURAM STORE,398
Nileshwar,LDF,30,KOTRACHAL,388
Nileshwar,LDF,31,KANICHIRA,515
Nileshwar,UDF,32,NILESHWARAM TOWN,791
